科目代號,永續課程
158737001,1
158749001,2
158770001,1
158793001,3
158797001,1
158811001,5
158833001,3
158844001,1
158850001,3
158882001,4
158900001,1
158914001,3
159001002,2
159818001,4
159819001,3
159835001,4
159842001,2
159858001,2
159862001,2
159864001,3
159925001,3
159926011,5
160714001,1
160715001,2
160717001,4
160718001,2
160719001,2
160727001,1
160730001,2
160737001,3
160759001,3
160864001,2
160911001,2
160919001,1
161722001,1
161723001,2
161725001,4
161726001,3
161727001,3
161734001,1
161738001,3
161745001,3
161759001,3
161862001,2
161908001,2
161916001,1
171003001,2
171913001,5
171914001,3
171915001,3
171927001,2
171938001,1
171950001,3
172003001,2
172006001,1
172881001,1
172888001,3
172890001,2
172892001,1
172896001,4
172898001,4
172919001,3
172930001,2
172939001,3
172944001,4
202002002,4
202003002,1
202004001,2
202005001,3
202008001,2
202022001,2
202035002,1
202036001,5
202116001,1
202120001,2
202123001,3
202124001,3
202125001,1
202131001,1
202807001,4
202808001,1
202809001,1
202812001,4
202818001,2
202828001,4
202844001,3
202916001,4
202919001,4
202929011,1
203004001,2
203007002,4
203009001,3
203010001,2
203060011,3
203070001,1
203072001,5
203075001,3
203077001,5
203801001,2
203804001,4
203805001,5
203807001,3
203808001,2
203809001,2
203817001,2
203828001,1
203829001,5
203861001,4
203877001,1
203896001,5
203928001,4
204004012,3
204007002,4
204008012,3
204040001,4
204045001,3
204104001,4
204655001,3
204733001,3
204751001,3
204766001,2
204778001,4
204780001,4
204781001,1
204784001,4
204811001,1
204820001,5
204822001,5
204839001,1
204868001,4
204885001,1
205007011,3
205008001,3
205009001,2
205016001,1
205063001,3
205063011,3
205845001,2
205848001,2
205849001,5
205853001,2
205857001,1
205868001,3
205872001,2
205907001,2
205917001,3
206005002,3
206050002,3
206053001,3
206057001,1
206062001,2
206072001,4
206074001,5
206075001,2
206078001,3
206785001,5
206786001,5
206790001,5
206800001,3
206834001,1
206873001,3
206901001,1
206923011,2
207003001,4
207008001,3
207029002,5
207044002,5
207047001,2
207061001,4
207074001,5
207074011,5
207075001,2
207076001,3
207079001,5
207086001,2
207087001,1
207091001,5
207092001,5
207093001,2
207095001,2
207097001,1
207098001,1
207729001,5
207732001,5
207734001,2
207741001,5
207743001,2
207744001,3
207745001,5
207747001,2
207757001,1
207800001,1
207835001,1
207883001,4
207888001,1
207889001,4
207903001,5
207907001,3
207941001,4
207957002,5
207959002,5
207M02001,5
208018001,3
208020011,1
208022001,2
208025001,5
208028001,1
208760001,1
208761001,3
208764002,5
208770001,3
208774001,2
208783001,5
208853001,1
209001002,2
209016001,2
209043002,3
209050002,2
209057002,1
209058002,1
209060002,5
209067001,1
209068001,3
209069002,1
209071001,4
209102002,1
209594001,1
209595001,1
209597001,3
209598001,1
209599001,3
209601001,5
209608001,4
209614001,3
209616001,4
209638001,3
209645001,3
209648001,3
209742001,1
209743001,2
209755001,1
209809001,3
252002001,2
252019002,2
252021001,1
252022001,3
252103001,3
252673001,4
252675001,1
252677001,1
252681001,2
252684001,1
252739001,1
252745001,5
252782001,4
252790001,1
252915001,4
252922001,4
252952002,2
253001001,3
253007001,4
253052001,4
253055001,1
253786001,4
253795001,3
253803001,3
253806001,2
253826001,4
253848001,5
253850001,3
253851001,5
253855001,3
253894001,3
254002001,1
254019001,1
254088001,4
254124001,3
254140001,2
254756001,4
254775001,1
254776001,5
254777001,5
254852001,3
255002001,3
255007001,4
255022001,3
255029001,3
255036011,1
255038011,3
255039001,2
255043001,3
255044001,3
255046001,3
255827001,5
255833001,1
255834001,1
255882001,3
255890001,2
255915001,3
256009001,2
256016001,3
256021001,3
256026001,3
256027001,3
256648001,2
256649001,5
256650001,5
256660001,5
256663001,5
256670001,5
256671001,3
256672001,4
256683001,3
256691001,2
256724001,3
257711001,5
257714001,2
257715001,4
257716001,1
257722001,5
257728001,4
257748001,5
257755001,1
257773001,5
257811001,5
257872001,1
257M01001,5
258014001,1
258015001,3
258019001,3
258020001,2
258697001,1
258718001,5
258721001,5
258722001,1
258746001,4
258761001,2
258931001,5
258935001,4
258942001,2
258949001,4
258967001,4
259019001,3
259059001,1
259651001,2
259652001,4
259653001,3
259654001,3
259658001,1
259662001,5
259667001,3
259669001,4
259681001,3
259693001,2
259745001,2
259791001,3
260029001,1
260031001,1
260045001,5
260046001,1
260046011,1
260047001,1
260104001,3
260106001,2
260720001,2
260735001,2
260738001,1
260739001,5
260845001,1
260872001,1
260908001,2
260940001,1
261043001,5
261100001,3
261101001,4
261106001,5
261633001,3
261868001,4
261874001,4
261876001,5
261898001,3
261899001,4
261913001,2
261921001,5
261929001,2
262002002,4
262020001,2
262788001,5
262789001,5
262793001,2
262797001,4
262820001,3
262856001,4
262861001,5
262937001,3
263012001,4
263814001,4
263821001,5
263830001,2
263841001,3
263846001,3
263898001,3
263950001,4
264001001,2
264016001,3
264102001,1
264863001,5
264864001,5
264866001,4
264874001,1
264899001,1
264902001,2
264907001,2
264924001,1
264928001,1
265772001,2
265773001,2
265774001,3
265780001,3
265782001,1
265795001,2
265797001,4
265803001,4
265818001,3
265822001,2
265823001,3
265824001,3
265826001,4
265829001,4
265831001,3
265840001,1
265849001,2
265880001,3
265910001,5
266003001,1
266838001,2
266839001,5
266840001,3
266841001,3
266842001,1
266847001,2
266857001,1
266858001,1
266864001,3
266871001,4
266890001,2
266908001,1
266909001,1
266922001,3
267003001,3
267004001,3
267005001,4
267935001,5
267936001,5
267939001,5
300006011,5
300729001,5
300730001,1
300731001,3
300732001,5
300744001,5
300744011,5
300745001,4
300745011,2
300745021,2
300745031,4
300747001,4
300747011,4
300747021,2
300747031,2
300747041,4
300747051,4
300749001,1
300749011,2
300749021,1
300749031,2
300749041,1
300749051,2
300749061,2
300749071,1
300753001,4
300761011,5
300761021,5
300773001,3
300774001,3
300774011,3
300779001,2
300779011,2
300784001,4
300785001,4
300798001,4
300798011,4
300809001,3
300810001,1
300811001,2
300812001,2
300822001,1
300824001,2
300860001,3
300901001,2
300906001,2
300906011,2
300933002,1
300934001,2
301030001,1
301030011,1
301033001,1
301040001,4
301044001,5
301047001,1
301772001,4
301776001,1
301779001,1
301786001,2
301807001,2
301815001,5
301815011,3
301833001,1
301839001,2
301843001,1
301848001,4
301866001,3
301867001,1
301888001,1
301911001,1
302037001,3
302043001,2
302771001,4
302774001,3
302783001,1
302788001,2
